"egt","att.egt","se.egt","lowci","highci"
-2,-3.26938009415123,1.54257518798675,-7.04628382372924,0.50752363542678
0,-1.93140636878282,1.78987422852211,-6.31380711127341,2.45099437370776
1,-7.03654367204914,1.44295746073002,-10.5695393130373,-3.50354803106104
2,-6.07284423288002,1.68737721408733,-10.2042871231349,-1.94140134262519
